team,conf,raptor_projW,raptor_projL,raptor_current,raptor_fs,current_W,current_L,playoff_prob
LAC,West,58,24,1732,1732,44,20,0.99
LAL,West,63,19,1710,1710,49,14,1
HOU,West,52,30,1701,1701,40,24,0.99
BOS,East,56,26,1656,1682,43,21,1
DEN,West,53,29,1638,1638,43,22,0.99
TOR,East,47,35,1628,1628,46,18,1
PHI,East,51,31,1626,1691,39,26,0.99
DAL,West,48,34,1626,1643,40,27,0.99
MIL,East,65,17,1620,1694,53,12,1
NOP,West,40,42,1607,1611,28,36,0.6
OKC,West,50,32,1585,1583,40,24,0.99
UTA,West,51,31,1584,1584,41,23,0.99
MIA,East,51,31,1547,1534,41,24,0.99
IND,East,48,34,1539,1586,39,26,0.99
SAC,West,37,45,1525,1512,28,36,0.09
PHX,West,33,49,1498,1520,26,39,0.01
POR,West,38,44,1480,1569,29,37,0.14
ORL,East,39,43,1478,1546,30,35,0.99
MEM,West,38,44,1452,1456,32,32,0.15
WAS,East,29,53,1447,1432,24,40,0.02
SAS,West,35,47,1426,1473,27,36,0.02
CHI,East,27,55,1422,1445,22,43,0.01
GSW,West,22,60,1419,1493,15,50,0
BRK,East,36,46,1410,1560,30,34,0.98
ATL,East,26,56,1375,1442,20,47,0.01
CLE,East,23,59,1366,1347,19,46,0.01
MIN,West,26,56,1352,1468,19,45,0.01
CHO,East,28,54,1319,1319,23,42,0.01
NYK,East,25,57,1298,1298,21,45,0.01
DET,East,23,59,1241,1352,20,46,0.01